"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","PlatformPortfolio.AnD","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"157",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other Services","Military
Health","YOUNG",0,0.0742352869848156
"158",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other Services","Additional
DoD
Components","YOUNG",0.0635504922437984,NA
"159",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Ships & Submarines","Army","YOUNG",0.0405898223594118,0.0182245119435851
"160",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Ships & Submarines","Navy","YOUNG",0.418877810079695,0.246330271216373
"161",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Ships & Submarines","Air Force","YOUNG",0.00217392524413514,0.000770235974630726
"162",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Ships & Submarines","DLA","YOUNG",0.0374973195644853,NA
"163",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Ships & Submarines","Additional
DoD
Components","YOUNG",0.010387292793804,0.00370094332905545
"164",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Unlabeled","Navy","YOUNG",1.19616343023908e-05,NA
"165",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Weapons and Ammunition","Army","YOUNG",0.34809747262319,0.319409416735885
"166",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Weapons and Ammunition","Navy","YOUNG",0.609387310259288,0.258138306760953
"167",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Weapons and Ammunition","Air Force","YOUNG",0.0363802226063531,NA
"168",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Weapons and Ammunition","DLA","YOUNG",0.0207949049724997,0.00693163499083324
"169",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Weapons and Ammunition","Additional
DoD
Components","YOUNG",0.00261469644180043,0.00114103230812847
"170",2007-12-31,"Q1",2008-09-30,1,"Aircraft and Drones","Army","YOUNG",0.344895194631236,0.261385066751588
"171",2007-12-31,"Q1",2008-09-30,1,"Aircraft and Drones","Navy","YOUNG",0.718146691767896,0.511092936362487
"172",2007-12-31,"Q1",2008-09-30,1,"Aircraft and Drones","Air Force","YOUNG",0.577489852462039,1.01783590178787
"173",2007-12-31,"Q1",2008-09-30,1,"Aircraft and Drones","DLA","YOUNG",0.189734539045553,0.163403517250602
"174",2007-12-31,"Q1",2008-09-30,1,"Aircraft and Drones","Additional
DoD
Components","YOUNG",0.0543333589154013,0.0124485580844036
"175",2007-12-31,"Q1",2008-09-30,1,"Electronics and Communications","Army","YOUNG",0.446539993958785,1.57260660864589
"176",2007-12-31,"Q1",2008-09-30,1,"Electronics and Communications","Navy","YOUNG",0.904067087049891,1.48614057390756
"177",2007-12-31,"Q1",2008-09-30,1,"Electronics and Communications","Air Force","YOUNG",0.458171518872017,0.813548639919587
"178",2007-12-31,"Q1",2008-09-30,1,"Electronics and Communications","DLA","YOUNG",0.13050576037961,0.114337318076175
"179",2007-12-31,"Q1",2008-09-30,1,"Electronics and Communications","Additional
DoD
Components","YOUNG",0.229969848579176,0.415196488041751
"180",2007-12-31,"Q1",2008-09-30,1,"Facilities and Construction","Army","YOUNG",0.716216935932755,3.24619341656471
"181",2007-12-31,"Q1",2008-09-30,1,"Facilities and Construction","Navy","YOUNG",0.386973410303688,1.17632695515006
"182",2007-12-31,"Q1",2008-09-30,1,"Facilities and Construction","Air Force","YOUNG",0.316028207125813,1.07539336325378
"183",2007-12-31,"Q1",2008-09-30,1,"Facilities and Construction","DLA","YOUNG",0.348007680292842,0.298838530329963
"184",2007-12-31,"Q1",2008-09-30,1,"Facilities and Construction","MDA","YOUNG",2.07472885032538e-05,9.02603036876356e-05
"185",2007-12-31,"Q1",2008-09-30,1,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.0054985069956616,0.0210817230487653
"186",2007-12-31,"Q1",2008-09-30,1,"Land Vehicles","Army","YOUNG",0.379156976550976,0.680163694211571
"187",2007-12-31,"Q1",2008-09-30,1,"Land Vehicles","Navy","YOUNG",1.31986138357918,0.440389752496038
"188",2007-12-31,"Q1",2008-09-30,1,"Land Vehicles","Air Force","YOUNG",0.0049372805856833,0.0203282497338965
"189",2007-12-31,"Q1",2008-09-30,1,"Land Vehicles","DLA","YOUNG",0.0949712393383948,0.0747380099437183
"190",2007-12-31,"Q1",2008-09-30,1,"Land Vehicles","Additional
DoD
Components","YOUNG",0.0001328568329718,9.22556459951466e-05
