"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","PlatformPortfolio.AnD","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"3876",2011-09-01,2011-09-30,"Q4",2011-09-30,2.91780821917808,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00431895885438523,0.0029288586305777
"3877",2011-10-01,2011-12-31,"Q1",2012-09-30,3,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.0012884328184533,0.00251373780338148
"3878",2011-11-01,2011-12-31,"Q1",2012-09-30,3.08493150684932,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00472162542477603,0.00344300569920485
"3879",2011-12-01,2011-12-31,"Q1",2012-09-30,3.16712328767123,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.000650027319534549,0.00222002852092129
"3880",2012-01-01,2012-03-31,"Q2",2012-09-30,3.25205479452055,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00727610800123571,0.00421592024851543
"3881",2012-02-01,2012-03-31,"Q2",2012-09-30,3.33698630136986,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00195651182164556,0.00329421571413861
"3882",2012-03-01,2012-03-31,"Q2",2012-09-30,3.41643835616438,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.000253498454947997,0.00316203942594309
"3883",2012-04-01,2012-06-30,"Q3",2012-09-30,3.5013698630137,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.000426536855112759,0.000878849043902104
"3884",2012-06-01,2012-06-30,"Q3",2012-09-30,3.66849315068493,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",-0.000104932725774894,0.00019170086142862
"3885",2012-08-01,2012-09-30,"Q4",2012-09-30,3.83561643835616,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.000804697106374215,0.00037543374523736
"3886",2012-09-01,2012-09-30,"Q4",2012-09-30,3.92054794520548,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00370598003295232,0.00146858147118388
"3887",2013-01-01,2013-03-31,"Q2",2013-09-30,4.25479452054795,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.0035912049138824,0.00270062735106965
"3888",2013-04-01,2013-06-30,"Q3",2013-09-30,4.5013698630137,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00124782393977861,0.00284833629553778
"3889",2009-04-01,2009-06-30,"Q3",2009-09-30,0.498630136986301,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.000889450584542109,0.00190949314606771
"3890",2013-06-01,2013-06-30,"Q3",2013-09-30,4.66849315068493,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00165537158748858,0.0012642153706031
"3891",2013-08-01,2013-09-30,"Q4",2013-09-30,4.83561643835616,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",1.61667818624962e-05,0.00085366298463106
"3892",2009-07-01,2009-09-30,"Q4",2009-09-30,0.747945205479452,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.0206246127083784,0.00743205035924317
"3893",2013-10-01,2013-12-31,"Q1",2014-09-30,5.0027397260274,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.0018482992668,0.00749635958568031
"3894",2013-12-01,2013-12-31,"Q1",2014-09-30,5.16986301369863,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.0021056011401,0.00819283770509281
