"","SignedMonth","Vendor.Size.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"256",2013-02-01,"Large","Navy","YOUNG",0.0396481958196405,0.0617352818003453
"257",2013-03-01,"Large","Navy","YOUNG",0.0709011334778105,0.0476225515784841
"258",2013-04-01,"Large","Navy","YOUNG",0.113662592383772,0.0747373072270742
"259",2013-05-01,"Large","Navy","YOUNG",0.490705739566568,0.225089821809384
"260",2013-06-01,"Large","Navy","YOUNG",0.222884481937951,0.275750937962764
"261",2013-07-01,"Large","Navy","YOUNG",0.0796395564519143,0.264409925985478
"262",2013-08-01,"Large","Navy","YOUNG",0.270283267046004,0.190935768478623
"263",2013-09-01,"Large","Navy","YOUNG",0.0668761503431502,0.138932991280356
"264",2013-10-01,"Large","Navy","YOUNG",0.004430924936,0.113863447441718
"265",2013-11-01,"Large","Navy","YOUNG",0.4608224690595,0.17737651477955
"266",2013-12-01,"Large","Navy","YOUNG",0.1726047078309,0.212619367275467
"267",2014-01-01,"Large","Navy","YOUNG",0.0986553613905,0.2440275127603
"268",2014-02-01,"Large","Navy","YOUNG",0.4053240490119,0.2255280394111
"269",2014-03-01,"Large","Navy","YOUNG",1.2249839922787,0.576321134227033
"270",2014-04-01,"Large","Navy","YOUNG",0.1399252964478,0.590077779246133
"271",2014-05-01,"Large","Navy","YOUNG",0.0506355100359,0.471848266254133
"272",2014-06-01,"Large","Navy","YOUNG",0.0359106879587,0.0754904981474667
"273",2014-07-01,"Large","Navy","YOUNG",0.072545414497,0.0530305374972
"274",2014-08-01,"Large","Navy","YOUNG",0.0531500984226,0.0538687336261
"275",2014-09-01,"Large","Navy","YOUNG",0.0306347403155,0.0521100844117
"276",2009-04-01,"Large","Navy","CARTER",0.0932561224940463,NA
"277",2009-05-01,"Large","Navy","CARTER",0.411049058649058,NA
"278",2009-06-01,"Large","Navy","CARTER",0.67202951630223,0.392111565815111
"279",2009-07-01,"Large","Navy","CARTER",0.539697676434293,0.540925417128527
"280",2009-08-01,"Large","Navy","CARTER",1.0318134479108,0.747846880215776
"281",2009-09-01,"Large","Navy","CARTER",2.68506745808617,1.41885952747709
"282",2009-10-01,"Large","Navy","CARTER",0.855772333611468,1.52421774653615
"283",2009-11-01,"Large","Navy","CARTER",0.585054304803166,1.37529803216693
"284",2009-12-01,"Large","Navy","CARTER",1.2637786042255,0.901535080880046
"285",2010-01-01,"Large","Navy","CARTER",0.605228070175439,0.818020326401369
"286",2010-02-01,"Large","Navy","CARTER",2.03652174244758,1.30184280561617
"287",2010-03-01,"Large","Navy","CARTER",1.50784937290329,1.38319972850877
"288",2010-04-01,"Large","Navy","CARTER",0.987137437259307,1.51050285087006
"289",2010-05-01,"Large","Navy","CARTER",0.915345866698759,1.13677755895379
"290",2010-06-01,"Large","Navy","CARTER",1.56385148996577,1.15544493130794
"291",2010-07-01,"Large","Navy","CARTER",0.756760933076594,1.07865276324704
"292",2010-08-01,"Large","Navy","CARTER",1.11435904876979,1.14499049060405
"293",2010-09-01,"Large","Navy","CARTER",3.33959951519042,1.73690649901227
"294",2010-10-01,"Large","Navy","CARTER",1.15619782361519,1.8700521291918
"295",2010-11-01,"Large","Navy","CARTER",1.25389552269198,1.91656428716586
"296",2010-12-01,"Large","Navy","CARTER",1.26574850893831,1.22528061841516
"297",2011-01-01,"Large","Navy","CARTER",0.78099200890684,1.10021201351238
"298",2011-02-01,"Large","Navy","CARTER",0.844814939813261,0.963851819219471
"299",2011-03-01,"Large","Navy","CARTER",1.39622899603441,1.00734531491817
"300",2011-04-01,"Large","Navy","CARTER",0.887819276091062,1.04295440397958
"301",2011-05-01,"Large","Navy","CARTER",1.33257220073437,1.20554015761995
"302",2011-06-01,"Large","Navy","CARTER",1.92309544602392,1.38116230761645
